original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - sélectionner, Y - inverser la sélection, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - sélectionner, Y - inverser la sélection, (+) - menu, L3 - lancer"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - sélectionner, Y - inverser la sélection, (+) - menu, R3 - trier"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - sélectionner, Y - inverser la sélection, (+) - menu, R3 - trier, L3 - lancer"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - sélectionner, Y - inverser la sélection, A - ouvrir, (-) - 2ème panneau"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - sélectionner, Y - inverser la sélection, ⬅/➡ - changer de panneau, (-) - fermer"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - changer date, Y - période, X - trier, (+) - sélectionner utilisateur"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Temps jeu \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Impossible de monter la partition système
"DPAD или стики для перемещения, (+) - Настройки","DPAD ou sticks pour déplacer, (+) - Paramètres"
Ошибка создания файла: {},Erreur de création du fichier : {}
Подключение к серверу...,Connexion au serveur...
"          Париж, издательство Грассе.","          Paris, éditions Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Titre : {}\n      Éditeur : {}\n      Version :
   Это действие будет нельзя отменить   ,Cette action est irréversible
SDK подменён,SDK remplacé
Тип оборудования        : {},Type de matériel        : {}
Точка доступа,Point d'accès
Традиционный китайский,Chinois traditionnel
Транзисторов:      {:>3},Transistors :      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Il est nécessaire d'autoriser manuellement la synchronisation de l'heure via Internet dans les paramètres
Тёмная комната,Chambre noire
Убрать из любимых,Retirer des favoris
Увеличить размер (в МБ),Augmenter la taille (en Mo)
"Уверены, что хотите продолжить?",Êtes-vous sûr de vouloir continuer?
Удаление Wi-Fi профиля,Suppression du profil Wi-Fi
Удаление Wi-Fi профиля...,Suppression du profil Wi-Fi...
Удаление {} бекапа,Suppression de {} sauvegarde
Удаление {} бекапов,Suppression de {} sauvegardes
Удаление {} сохранений,Suppression de {} sauvegardes
Удаление {} сохранения,Suppression de {} sauvegarde
Удаление бекапов,Suppression des sauvegardes
Удаление записи об игре...,Suppression de l'enregistrement du jeu...
Удаление игр,Supprimer les jeux
Удаление игры ,Suppression du jeu
Удаление игры целиком: [{}],Suppression complète du jeu : [{}]
"SSID: {}, Пароль: {}","SSID:{}, Pass:{}"
Удаление каталога LFS,Supprimer le répertoire LFS
Удаление контента,Suppression du contenu
Удаление настроек родительского контроля...,Suppression des paramètres du contrôle parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,La suppression a échoué.\n\nAppuyez sur n'importe quel bouton pour continuer
Удаление неиспользуемого {}...,Suppression de {} inutilisé...
Удаление плейсхолдера...,Suppression de l'espace réservé...
Удаление пользователя,Suppression de l'utilisateur
Удаление пользователя...,Suppression de l'utilisateur...
Удаление ранее установленных файлов...,Suppression des fichiers précédemment installés...
Удаление родительского контроля,Suppression du contrôle parental
SaveFS очищена,SaveFS effacé
Удаление связи с Nintendo account...,Suppression liaison compte Nintendo...
Удаление сохранений,Suppression des sauvegardes
Удаление сохранения целиком,Suppression complète de la sauvegarde
Удаление старого     {}...,Suppression de l'ancien     {}...
Удаление старого файла {}...,Suppression de l'ancien fichier {}...
Удаление старой записи об игре...,Suppression de l'ancien enregistrement de jeu...
Удаление старой папки {}...,Suppression de l'ancien dossier {}...
Удаление тайтла: [{}],Suppression du titre : [{}]
Удаление тикетов ({}),Suppression des billets ({})
Удаление...,Suppression...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Supprimer
Удалить LFS,Supprimer LFS
Удалить сохранения,Supprimer les sauvegardes
Удалить старые бекапы,Supprimer les anciennes sauvegardes
Удаляется {} из {}...,Suppression de {} de {}...
Удаляется {}...,Suppression de {}...
Удаляется бекап ,Suppression de la sauvegarde
