original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - seleccionar, Y - invertir selección, (+) - menú"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - seleccionar, Y - invertir selección, (+) - menú, L3 - iniciar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - seleccionar, Y - invertir selección, (+) - menú, R3 - ordenar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - seleccionar, Y - invertir selección, (+) - menú, R3 - ordenar, L3 - iniciar"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - seleccionar, Y - invertir selección, A - abrir, (-) - 2º panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - seleccionar, Y - invertir selección, ⬅/➡ - cambiar panel, (-) - cerrar"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - cambiar fecha, Y - periodo, X - ordenar, (+) - seleccionar usuario"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tiempo juego \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,No se puede montar la partición del sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD o sticks para mover, (+) - Ajustes"
Ошибка создания файла: {},Error al crear el archivo: {}
Подключение к серверу...,Conectando al servidor...
"          Париж, издательство Грассе.","          París, editorial Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Título: {}\n      Editor: {}\n      Versión: 
   Это действие будет нельзя отменить   ,Esta acción no se podrá deshacer
SDK подменён,SDK sustituido
Тип оборудования        : {},Tipo de hardware          : {}
Точка доступа,Punto de acceso
Традиционный китайский,Chino tradicional
Транзисторов:      {:>3},Transistores:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Se requiere permitir manually la sincronización de la hora por Internet en los ajustes
Тёмная комната,Modo oscuro
Убрать из любимых,Quitar de favoritos
Увеличить размер (в МБ),Aumentar tamaño (en MB)
"Уверены, что хотите продолжить?",¿Seguro que quieres continuar?
Удаление Wi-Fi профиля,Eliminar perfil de Wi-Fi
Удаление Wi-Fi профиля...,Eliminando perfil de Wi-Fi...
Удаление {} бекапа,Eliminando {} copia de seguridad
Удаление {} бекапов,Eliminando {} copias de seguridad
Удаление {} сохранений,Eliminando {} partidas guardadas
Удаление {} сохранения,Eliminando {} partida guardada
Удаление бекапов,Eliminar copias de seguridad
Удаление записи об игре...,Eliminando registro del juego...
Удаление игр,Eliminar juegos
Удаление игры ,Eliminando juego 
Удаление игры целиком: [{}],Eliminando juego completo: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Contraseña: {}"
Удаление каталога LFS,Eliminar directorio LFS
Удаление контента,Eliminando contenido
Удаление настроек родительского контроля...,Eliminando ajustes de control parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,La eliminación ha fallado.\n\nPulsa cualquier tecla para continuar
Удаление неиспользуемого {}...,Eliminando {} no utilizado...
Удаление плейсхолдера...,Eliminando marcador de posición...
Удаление пользователя,Eliminar usuario
Удаление пользователя...,Eliminando usuario...
Удаление ранее установленных файлов...,Eliminando archivos instalados previamente...
Удаление родительского контроля,Eliminar control parental
SaveFS очищена,SaveFS limpiado
Удаление связи с Nintendo account...,Desvinculando cuenta Nintendo...
Удаление сохранений,Eliminar partidas guardadas
Удаление сохранения целиком,Eliminando la partida guardada por completo
Удаление старого     {}...,Eliminando el antiguo     {}...
Удаление старого файла {}...,Eliminando el archivo antiguo {}...
Удаление старой записи об игре...,Eliminando registro de juego antiguo...
Удаление старой папки {}...,Eliminando la carpeta antigua {}...
Удаление тайтла: [{}],Eliminando título: [{}]
Удаление тикетов ({}),Eliminando tiques ({})
Удаление...,Eliminando...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Eliminar
Удалить LFS,Eliminar LFS
Удалить сохранения,Eliminar partidas guardadas
Удалить старые бекапы,Eliminar copias de seguridad antiguas
Удаляется {} из {}...,Eliminando {} de {}...
Удаляется {}...,Eliminando {}...
Удаляется бекап ,Eliminando copia de seguridad 
Удаляется запись о контенте...,Eliminando registro de contenido...
Удаляется запись об игре...,Eliminando registro del juego...
Удаляется игра и весь связанный контент,Eliminando el juego y todo el contenido asociado
Titlekey не может быть инициализирован,No se puede inicializar la titlekey
Удаляется папка LFS...,Eliminando carpeta LFS...
Удаляется пустая папка,Eliminando carpeta vacía
Удаляется сохранение {}...,Eliminando partida guardada {}...
Удаляется старая запись о контенте...,Eliminando registro de contenido antiguo...
Удаляется старый cnmt.nca...,Eliminando cnmt.nca antiguo...
Удаляется тикет: {}...,Eliminando tique: {}...
Удалять после установки: ,Eliminar tras la instalación: 
Удаляются все объекты из альбома для игры,Eliminando todos los objetos del álbum para el juego
Удаляются все сохранения для игры,Eliminando todas las partidas guardadas del juego
Удаляются сохранения...,Eliminando partidas guardadas...
"UID: {}, Ник: {}","UID: {}, Nick: {}"
Удалённые,Eliminados
Удачный экспорт,Exportación correcta
Уделение старого тикета...,Eliminando tique antiguo...
Упаковка каталога в RomFS,Empaquetando directorio en RomFS
Упрощенный китайский,Chino simplificado
Уровень заряда батареи         : {},Nivel de carga de la batería   : {}
Успешно разобран как PFS0 файл,Analizado correctamente como archivo PFS0
Устанавливается {},Instalando {}
Установить как аватар...,Establecer como avatar...
Установка,Instalación
URL для проверки обновлений,URL para buscar actualizaciones
Установка анлокера...,Instalando desbloqueador...
Установка завершена,Instalación completada
Установка игр (NAND),Instalar juegos (NAND)
