original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu, L3 - paleisti"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu, R3 - rūšiavimas"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - pasirinkti, Y - apversti pasirinkimą, (+) - meniu, R3 - rūšiavimas, L3 - paleisti"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - pasirinkti, Y - apversti pasirinkimą, A - atidaryti, (-) - 2-as skydelis"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - pasirinkti, Y - apversti pasirinkimą, ⬅/➡ - keisti skydelį, (-) - uždaryti"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - keisti datą, Y - laikotarpis, X - rūšiavimas, (+) - pasirinkti vartotoją"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Žaid. laikas \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Nepavyko prijungti sistemos skirsnio
"DPAD или стики для перемещения, (+) - Настройки","DPAD arba svirtys judėjimui, (+) - Nustatymai"
Ошибка создания файла: {},Failo kūrimo klaida: {}
Подключение к серверу...,Jungiamasi prie serverio...
"          Париж, издательство Грассе.","Paryžius, leidykla Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,Pavadinimas: {}\n      Leidėjas: {}\n      Versija:
   Это действие будет нельзя отменить   ,Šio veiksmo negalima atšaukti
SDK подменён,SDK pakeistas
Тип оборудования        : {},Įrangos tipas           : {}
Точка доступа,Prieigos taškas
Традиционный китайский,Tradicinė kinų
Транзисторов:      {:>3},Tranzistorių:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Reikia rankiniu būdu leisti laiko sinchr. internetu nustatymuose
Тёмная комната,Tamsus kambarys
Убрать из любимых,Pašalinti iš mėgstamų
Увеличить размер (в МБ),Padidinti dydį (MB)
"Уверены, что хотите продолжить?",Ar tikrai norite tęsti?
Удаление Wi-Fi профиля,Wi-Fi profilio trynimas
Удаление Wi-Fi профиля...,Wi-Fi profilio trynimas...
Удаление {} бекапа,Trinama {} ats. kopija
Удаление {} бекапов,Trinama {} ats. kopijų
