original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - selecionar, Y - inverter seleção, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - selecionar, Y - inverter seleção, (+) - menu, L3 - iniciar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - selecionar, Y - inverter seleção, (+) - menu, R3 - ordenar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - selecionar, Y - inverter seleção, (+) - menu, R3 - ordenar, L3 - iniciar"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - selecionar, Y - inverter seleção, A - abrir, (-) - 2.º painel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - selecionar, Y - inverter seleção, ⬅/➡ - mudar de painel, (-) - fechar"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - mudar data, Y - período, X - ordenar, (+) - selecionar utilizador"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tempo jogo \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Não é possível montar a partição do sistema
"DPAD или стики для перемещения, (+) - Настройки","D-Pad ou analógicos para mover, (+) - Definições"
Ошибка создания файла: {},Erro ao criar o ficheiro: {}
Подключение к серверу...,A ligar ao servidor...
"          Париж, издательство Грассе.","          Paris, editora Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Título: {}\n      Editora: {}\n      Versão: 
   Это действие будет нельзя отменить   ,Esta ação não poderá ser desfeita
SDK подменён,SDK substituído
Тип оборудования        : {},Tipo de hardware        : {}
Точка доступа,Ponto de acesso
Традиционный китайский,Chinês Tradicional
Транзисторов:      {:>3},Transístores:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,É necessário permitir manualmente a sincronização da hora pela Internet nas definições
Тёмная комната,Sala escura
Убрать из любимых,Remover dos favoritos
Увеличить размер (в МБ),Aumentar tamanho (em MB)
"Уверены, что хотите продолжить?",Tem a certeza de que quer continuar?
Удаление Wi-Fi профиля,Eliminar perfil Wi-Fi
Удаление Wi-Fi профиля...,A eliminar perfil Wi-Fi...
Удаление {} бекапа,A eliminar {} backup
Удаление {} бекапов,A eliminar {} backups
Удаление {} сохранений,A eliminar {} saves
Удаление {} сохранения,A eliminar {} save
Удаление бекапов,Eliminar cópias de segurança
Удаление записи об игре...,A eliminar o registo do jogo...
Удаление игр,Eliminar jogos
Удаление игры ,Eliminar jogo 
Удаление игры целиком: [{}],A eliminar o jogo completo: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Pass: {}"
Удаление каталога LFS,Eliminar diretório LFS
Удаление контента,Eliminar conteúdo
Удаление настроек родительского контроля...,A remover as definições do controlo parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,A eliminação falhou.\n\nPressione qualquer botão para continuar
Удаление неиспользуемого {}...,A eliminar {} não utilizado...
Удаление плейсхолдера...,A eliminar o placeholder...
Удаление пользователя,Eliminar utilizador
Удаление пользователя...,A eliminar utilizador...
Удаление ранее установленных файлов...,A eliminar ficheiros instalados anteriormente...
Удаление родительского контроля,Remover controlo parental
SaveFS очищена,SaveFS limpo
Удаление связи с Nintendo account...,A desvincular da Conta Nintendo...
Удаление сохранений,Eliminar saves
Удаление сохранения целиком,A eliminar o save completo
Удаление старого     {}...,A eliminar o antigo     {}...
Удаление старого файла {}...,A eliminar o ficheiro antigo {}...
Удаление старой записи об игре...,A eliminar o registo de jogo antigo...
Удаление старой папки {}...,A eliminar a pasta antiga {}...
Удаление тайтла: [{}],A eliminar o título: [{}]
Удаление тикетов ({}),A eliminar tickets ({})
Удаление...,A eliminar...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Eliminar
Удалить LFS,Eliminar LFS
Удалить сохранения,Eliminar saves
Удалить старые бекапы,Eliminar cópias de segurança antigas
Удаляется {} из {}...,A eliminar {} de {}...
Удаляется {}...,A eliminar {}...
Удаляется бекап ,A eliminar cópia seg. 
Удаляется запись о контенте...,A eliminar o registo de conteúdo...
Удаляется запись об игре...,A eliminar o registo do jogo...
Удаляется игра и весь связанный контент,A eliminar o jogo e todo o conteúdo relacionado
Titlekey не может быть инициализирован,A titlekey não pode ser inicializada
Удаляется папка LFS...,A eliminar a pasta LFS...
Удаляется пустая папка,A eliminar pasta vazia
Удаляется сохранение {}...,A eliminar o save {}...
Удаляется старая запись о контенте...,A eliminar o registo de conteúdo antigo...
Удаляется старый cnmt.nca...,A eliminar o cnmt.nca antigo...
Удаляется тикет: {}...,A eliminar o ticket: {}...
Удалять после установки: ,Eliminar após a instalação: 
Удаляются все объекты из альбома для игры,A eliminar todos os itens do álbum para o jogo
Удаляются все сохранения для игры,A eliminar todos os saves para o jogo
Удаляются сохранения...,A eliminar saves...
"UID: {}, Ник: {}","UID: {}, Nome: {}"
Удалённые,Eliminados
Удачный экспорт,Exportação bem-sucedida
Уделение старого тикета...,A eliminar o ticket antigo...
