original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - selecionar, Y - inverter seleção, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - selecionar, Y - inverter seleção, (+) - menu, L3 - iniciar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - selecionar, Y - inverter seleção, (+) - menu, R3 - ordenar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - selecionar, Y - inverter seleção, (+) - menu, R3 - ordenar, L3 - iniciar"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - selecionar, Y - inverter seleção, A - abrir, (-) - 2º painel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - selecionar, Y - inverter seleção, ⬅/➡ - mudar painel, (-) - fechar"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - mudar data, Y - período, X - ordenar, (+) - selecionar usuário"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tempo jogo \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Não foi possível montar a partição do sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD ou sticks para mover, (+) - Config."
Ошибка создания файла: {},Erro ao criar o arquivo: {}
Подключение к серверу...,Conectando ao servidor...
"          Париж, издательство Грассе.","Paris, editora Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Título: {}\n      Publicadora: {}\n      Versão: 
   Это действие будет нельзя отменить   ,Esta ação não poderá ser desfeita
SDK подменён,SDK substituído
Тип оборудования        : {},Tipo hardware           : {}
Точка доступа,Ponto de acesso
Традиционный китайский,Chinês Tradicional
Транзисторов:      {:>3},Transistores:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Necessário ativar manualmente sincronização de hora via Internet nas configurações
Тёмная комната,Quarto escuro
Убрать из любимых,Remover dos favoritos
Увеличить размер (в МБ),Aumentar tamanho (em MB)
"Уверены, что хотите продолжить?",Tem certeza de que deseja continuar?
Удаление Wi-Fi профиля,Excluindo perfil Wi-Fi
Удаление Wi-Fi профиля...,Excluindo perfil Wi-Fi...
Удаление {} бекапа,Excluindo {} backup
Удаление {} бекапов,Excluindo {} backups
Удаление {} сохранений,Excluindo {} saves
Удаление {} сохранения,Excluindo {} save
Удаление бекапов,Excluindo backups
Удаление записи об игре...,Excluindo registro do jogo...
Удаление игр,Excluir jogos
Удаление игры ,Excluindo jogo 
Удаление игры целиком: [{}],Excluindo o jogo inteiro: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Senha: {}"
Удаление каталога LFS,Excluir diretório LFS
Удаление контента,Excluindo conteúdo
Удаление настроек родительского контроля...,Excluindo config. controle parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Falha na exclusão.\n\nPressione qualquer botão para continuar
Удаление неиспользуемого {}...,Excluindo {} não utilizado...
Удаление плейсхолдера...,Excluindo placeholder...
Удаление пользователя,Excluindo usuário
Удаление пользователя...,Excluindo usuário...
Удаление ранее установленных файлов...,Excluindo arquivos instalados anteriormente...
Удаление родительского контроля,Excluindo controle parental
SaveFS очищена,SaveFS limpo
Удаление связи с Nintendo account...,Desvinculando conta Nintendo...
Удаление сохранений,Excluindo saves
Удаление сохранения целиком,Excluindo o save inteiro
Удаление старого     {}...,Excluindo o antigo     {}...
Удаление старого файла {}...,Excluindo arquivo antigo {}...
Удаление старой записи об игре...,Excluindo registro de jogo antigo...
Удаление старой папки {}...,Excluindo pasta antiga {}...
Удаление тайтла: [{}],Excluindo o título: [{}]
Удаление тикетов ({}),Excluindo tickets ({})
Удаление...,Excluindo...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Excluir
Удалить LFS,Excluir LFS
Удалить сохранения,Excluir saves
Удалить старые бекапы,Excluir backups antigos
Удаляется {} из {}...,Excluindo {} de {}...
Удаляется {}...,Excluindo {}...
Удаляется бекап ,Excluindo backup 
Удаляется запись о контенте...,Excluindo registro de conteúdo...
Удаляется запись об игре...,Excluindo registro do jogo...
Удаляется игра и весь связанный контент,Excluindo o jogo e todo o conteúdo relacionado
Titlekey не может быть инициализирован,A titlekey não pode ser inicializada
Удаляется папка LFS...,Excluindo pasta LFS...
Удаляется пустая папка,Excluindo pasta vazia
Удаляется сохранение {}...,Excluindo save {}...
Удаляется старая запись о контенте...,Excluindo registro de conteúdo antigo...
Удаляется старый cnmt.nca...,Excluindo cnmt.nca antigo...
Удаляется тикет: {}...,Excluindo ticket: {}...
Удалять после установки: ,Excluir após instalar:
Удаляются все объекты из альбома для игры,Excluindo todos os objetos do álbum para o jogo
Удаляются все сохранения для игры,Excluindo todos os saves do jogo
Удаляются сохранения...,Excluindo saves...
"UID: {}, Ник: {}","UID: {}, Nick: {}"
Удалённые,Excluídos
Удачный экспорт,Exportação bem-sucedida
Уделение старого тикета...,Excluindo ticket antigo...
Упаковка каталога в RomFS,Empacotando diretório em RomFS
Упрощенный китайский,Chinês Simplificado
