original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - seç, Y - seçimi tersine çevir, (+) - menü"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - seç, Y - seçimi tersine çevir, (+) - menü, L3 - başlat"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - seç, Y - seçimi tersine çevir, (+) - menü, R3 - sırala"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - seç, Y - seçimi tersine çevir, (+) - menü, R3 - sıralama, L3 - başlat"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - seç, Y - seçimi tersine çevir, A - aç, (-) - 2. panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - seç, Y - seçimi tersine çevir, ←/→ - paneli değiştir, (-) - kapat"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - tarihi değiştir, Y - dönem, X - sıralama, (+) - kullanıcı seç"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Oyun süresi \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Sistem bölümü bağlanamıyor
"DPAD или стики для перемещения, (+) - Настройки","Hareket için DPAD/Çubuklar, (+) - Ayarlar"
Ошибка создания файла: {},Dosya oluşturma hatası: {}
Подключение к серверу...,Sunucuya bağlan
"          Париж, издательство Грассе.","Paris, Grasset yayınevi."
      Название: {}\n      Издатель: {}\n      Версия: ,      Başlık: {}\n Yayıncı: {}\n Sürüm: 
   Это действие будет нельзя отменить   ,Bu işlem geri alınamaz
SDK подменён,SDK değiştirildi
Тип оборудования        : {},Donanım türü : {}
Точка доступа,Erişim noktası
Традиционный китайский,Geleneksel Çince
Транзисторов:      {:>3},Transistörler:     {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,İnternet ayarlarında manuel zaman senkronizasyonu izni gerekiyor
Тёмная комната,Karanlık oda
Убрать из любимых,Favorilerden kaldır
Увеличить размер (в МБ),Kayıt boyutunu artır (MB)
"Уверены, что хотите продолжить?",Devam etmek istediğinizden emin misiniz?
Удаление Wi-Fi профиля,Wi-Fi profilini sil
Удаление Wi-Fi профиля...,Wi-Fi profilini sil
Удаление {} бекапа,{} yedeklemesi siliniyor
Удаление {} бекапов,{} yedeklemeler siliniyor
Удаление {} сохранений,{} kayıt siliniyor
Удаление {} сохранения,{} kaydı siliniyor
Удаление бекапов,Yedeklemeleri silme
Удаление записи об игре...,Oyun kaydı siliniyor...
Удаление игр,Oyunları silme
Удаление игры ,Oyun siliniyor 
Удаление игры целиком: [{}],Oyunun tamamı siliniyor: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Şifre: {}"
Удаление каталога LFS,LFS dizininin silinmesi
Удаление контента,İçeriği silme
Удаление настроек родительского контроля...,Ebeveyn kontrolü ayarları kaldırılıyor...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Silinemedi.\n\nDevam etmek için herhangi bir tuşa basın
Удаление неиспользуемого {}...,Kullanılmayan {} siliniyor...
Удаление плейсхолдера...,Yer tutucu siliniyor...
Удаление пользователя,Kullanıcıyı sil
Удаление пользователя...,Kullanıcıyı sil
Удаление ранее установленных файлов...,Önceden yüklenmiş dosyalar siliniyor...
Удаление родительского контроля,Ebeveyn denetimlerini kaldır
SaveFS очищена,SaveFS temizlendi
Удаление связи с Nintendo account...,Nintendo hesap bağı kaldırılıyor...
Удаление сохранений,Kayıtlar siliniyor
Удаление сохранения целиком,Tüm kaydetme siliniyor
Удаление старого     {}...,Eski {} siliniyor...
Удаление старого файла {}...,Eski dosya siliniyor: {}...
Удаление старой записи об игре...,Eski oyun kaydı siliniyor...
Удаление старой папки {}...,Eski klasör siliniyor: {}...
Удаление тайтла: [{}],Başlık siliniyor: [{}]
Удаление тикетов ({}),Biletler siliniyor ({})
Удаление...,Siliniyor...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Sil
Удалить LFS,LFS'yi sil
Удалить сохранения,Kayıtları sil
Удалить старые бекапы,Eski yedeklemeleri silin
Удаляется {} из {}...,"{}, {} öğesinden siliniyor..."
Удаляется {}...,{} siliniyor...
Удаляется бекап ,Yedekleme siliniyor 
Удаляется запись о контенте...,İçerik kaydı siliniyor...
Удаляется запись об игре...,Oyun kaydı siliniyor...
Удаляется игра и весь связанный контент,Oyunun ve ilgili tüm içeriğin silinmesi
Titlekey не может быть инициализирован,Titlekey başlatılamıyor
Удаляется папка LFS...,LFS klasörü siliniyor...
Удаляется пустая папка,Boş klasör siliniyor
Удаляется сохранение {}...,{} kaydı siliniyor...
Удаляется старая запись о контенте...,Eski içerik kaydı siliniyor...
Удаляется старый cnmt.nca...,Eski cnmt.nca siliniyor...
Удаляется тикет: {}...,Bilet siliniyor: {}...
Удалять после установки: ,Kurulumdan sonra sil: 
Удаляются все объекты из альбома для игры,Oyuna ait tüm albüm öğeleri siliniyor
Удаляются все сохранения для игры,Oyuna ilişkin tüm kayıtlar siliniyor
Удаляются сохранения...,Kayıtlar siliniyor...
"UID: {}, Ник: {}","UID: {}, Ad: {}"
Удалённые,Kaldırıldı
