original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - 选择, Y - 反选, (+) - 菜单"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - 选择, Y - 反选, (+) - 菜单, L3 - 启动"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - 选择, Y - 反选, (+) - 菜单, R3 - 排序"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - 选择, Y - 反选, (+) - 菜单, R3 - 排序, L3 - 启动"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - 选择, Y - 反选, A - 打开, (-) - 第二面板"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - 选择, Y - 反选, ⬅/➡ - 切换面板, (-) - 关闭"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - 更改日期, Y - 周期, X - 排序, (+) - 选择用户"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. 游戏时间 \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,无法挂载系统分区
"DPAD или стики для перемещения, (+) - Настройки",方向键或摇杆移动，(+) - 设置
Ошибка создания файла: {},创建文件时出错：{}
Подключение к серверу...,正在连接到服务器...
"          Париж, издательство Грассе.",          巴黎，格拉塞出版社。
      Название: {}\n      Издатель: {}\n      Версия: ,      标题：{}\n      发行商：{}\n      版本：
   Это действие будет нельзя отменить   ,此操作无法撤销
SDK подменён,SDK 已替换
Тип оборудования        : {},硬件类型        : {}
Точка доступа,接入点
Традиционный китайский,繁体中文
Транзисторов:      {:>3},晶体管：      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,需要在设置中手动允许通过互联网同步时间
Тёмная комната,暗室
Убрать из любимых,从收藏夹中移除
Увеличить размер (в МБ),增加大小（MB）
"Уверены, что хотите продолжить?",您确定要继续吗？
Удаление Wi-Fi профиля,删除 Wi-Fi 配置文件
Удаление Wi-Fi профиля...,正在删除 Wi-Fi 配置文件...
Удаление {} бекапа,正在删除 {} 个备份
Удаление {} бекапов,正在删除 {} 个备份
Удаление {} сохранений,正在删除 {} 个存档
Удаление {} сохранения,正在删除 {} 个存档
Удаление бекапов,删除备份
Удаление записи об игре...,正在删除游戏记录...
Удаление игр,删除游戏
Удаление игры ,删除游戏
Удаление игры целиком: [{}],正在删除整个游戏：[{}]
"SSID: {}, Пароль: {}","SSID: {}, 密码: {}"
Удаление каталога LFS,删除 LFS 目录
Удаление контента,删除内容
Удаление настроек родительского контроля...,正在删除家长控制设置...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,删除失败。\n\n按任意键继续
Удаление неиспользуемого {}...,正在删除未使用的 {}...
Удаление плейсхолдера...,正在删除占位符...
Удаление пользователя,删除用户
Удаление пользователя...,正在删除用户...
Удаление ранее установленных файлов...,正在删除先前安装的文件...
Удаление родительского контроля,删除家长控制
SaveFS очищена,SaveFS 已清除
Удаление связи с Nintendo account...,正在取消与 Nintendo account 的关联...
Удаление сохранений,删除存档
Удаление сохранения целиком,正在删除整个存档
Удаление старого     {}...,正在删除旧的 {}...
Удаление старого файла {}...,正在删除旧文件 {}...
Удаление старой записи об игре...,正在删除旧的游戏记录...
Удаление старой папки {}...,正在删除旧文件夹 {}...
Удаление тайтла: [{}],正在删除标题：[{}]
Удаление тикетов ({}),删除凭证 ({})
Удаление...,正在删除...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,删除
Удалить LFS,删除 LFS
Удалить сохранения,删除存档
Удалить старые бекапы,删除旧备份
Удаляется {} из {}...,正在从 {} 删除 {}...
Удаляется {}...,正在删除 {}...
Удаляется бекап ,正在删除备份
Удаляется запись о контенте...,正在删除内容记录...
Удаляется запись об игре...,正在删除游戏记录...
Удаляется игра и весь связанный контент,正在删除游戏及所有相关内容
Titlekey не может быть инициализирован,Titlekey 无法初始化
Удаляется папка LFS...,正在删除 LFS 文件夹...
Удаляется пустая папка,正在删除空文件夹
Удаляется сохранение {}...,正在删除存档 {}...
Удаляется старая запись о контенте...,正在删除旧的内容记录...
Удаляется старый cnmt.nca...,正在删除旧的 cnmt.nca...
Удаляется тикет: {}...,正在删除凭证：{}...
Удалять после установки: ,安装后删除：
Удаляются все объекты из альбома для игры,正在删除相册中该游戏的所有项目
Удаляются все сохранения для игры,正在删除游戏所有存档
Удаляются сохранения...,正在删除存档...
"UID: {}, Ник: {}","UID: {}, 昵称: {}"
Удалённые,已删除
Удачный экспорт,导出成功
Уделение старого тикета...,正在删除旧凭证...
Упаковка каталога в RomFS,将目录打包到 RomFS
Упрощенный китайский,简体中文
Уровень заряда батареи         : {},电池电量水平         : {}
Успешно разобран как PFS0 файл,成功解析为 PFS0 文件
Устанавливается {},正在安装 {}
Установить как аватар...,设置为头像...
Установка,安装
URL для проверки обновлений,检查更新的 URL
