original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - wybór, Y - odwróć wybór, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - wybór, Y - odwróć wybór, (+) - menu, L3 - uruchom"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - wybór, Y - odwróć wybór, (+) - menu, R3 - sortowanie"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - wybór, Y - odwróć wybór, (+) - menu, R3 - sortowanie, L3 - uruchom"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - wybór, Y - odwróć wybór, A - otwórz, (-) - 2. panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - wybór, Y - odwróć wybór, ⬅/➡ - zmiana panelu, (-) - zamknij"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - zmiana daty, Y - okres, X - sortowanie, (+) - wybierz użytkownika"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Czas gry \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Nie można zamontować partycji systemowej
"DPAD или стики для перемещения, (+) - Настройки","DPAD lub drążki do poruszania, (+) - Ustawienia"
Ошибка создания файла: {},Błąd tworzenia pliku: {}
Подключение к серверу...,Łączenie z serwerem...
"          Париж, издательство Грассе.","          Paryż, wydawnictwo Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Tytuł: {}\n      Wydawca: {}\n      Wersja:
   Это действие будет нельзя отменить   ,Tej operacji nie będzie można cofnąć
SDK подменён,SDK podmieniony
Тип оборудования        : {},Typ sprzętu        : {}
Точка доступа,Punkt dostępu
Традиционный китайский,Tradycyjny chiński
Транзисторов:      {:>3},Tranzystorów:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Wymagane jest ręczne zezwolenie na synchronizację czasu przez Internet w ustawieniach
Тёмная комната,Ciemny pokój
Убрать из любимых,Usuń z ulubionych
Увеличить размер (в МБ),Zwiększ rozmiar (w MB)
"Уверены, что хотите продолжить?",Czy na pewno chcesz kontynuować?
Удаление Wi-Fi профиля,Usuwanie profilu Wi-Fi
Удаление Wi-Fi профиля...,Usuwanie profilu Wi-Fi...
Удаление {} бекапа,Usuwanie {} kopii zapasowej
Удаление {} бекапов,Usuwanie {} kopii zapasowych
Удаление {} сохранений,Usuwanie {} zapisów
Удаление {} сохранения,Usuwanie {} zapisu
Удаление бекапов,Usuwanie kopii zapasowych
Удаление записи об игре...,Usuwanie wpisu gry...
Удаление игр,Usuwanie gier
Удаление игры ,Usuwanie gry
Удаление игры целиком: [{}],Usuwanie całej gry: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Hasło: {}"
Удаление каталога LFS,Usuwanie katalogu LFS
Удаление контента,Usuwanie zawartości
Удаление настроек родительского контроля...,Usuwanie ustawień kontroli rodzicielskiej...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,"Usuwanie nie powiodło się.\n\nNaciśnij dowolny przycisk, aby kontynuować"
Удаление неиспользуемого {}...,Usuwanie nieużywanego {}...
Удаление плейсхолдера...,Usuwanie placeholdera...
Удаление пользователя,Usuwanie użytkownika
Удаление пользователя...,Usuwanie użytkownika...
Удаление ранее установленных файлов...,Usuwanie wcześniej zainstalowanych plików...
Удаление родительского контроля,Usuwanie kontroli rodzicielskiej
SaveFS очищена,SaveFS wyczyszczony
Удаление связи с Nintendo account...,Usuwanie połączenia z kontem Nintendo...
Удаление сохранений,Usuwanie zapisów
Удаление сохранения целиком,Usuwanie całego zapisu
Удаление старого     {}...,Usuwanie starego     {}...
Удаление старого файла {}...,Usuwanie starego pliku {}...
Удаление старой записи об игре...,Usuwanie starego wpisu gry...
Удаление старой папки {}...,Usuwanie starego folderu {}...
Удаление тайтла: [{}],Usuwanie tytułu: [{}]
Удаление тикетов ({}),Usuwanie biletów ({})
Удаление...,Usuwanie...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Usuń
Удалить LFS,Usuń LFS
Удалить сохранения,Usuń zapisy
Удалить старые бекапы,Usuń stare kopie zapasowe
Удаляется {} из {}...,Usuwanie {} z {}...
Удаляется {}...,Usuwanie {}...
Удаляется бекап ,Usuwanie kopii zapasowej
Удаляется запись о контенте...,Usuwanie wpisu zawartości...
Удаляется запись об игре...,Usuwanie wpisu gry...
Удаляется игра и весь связанный контент,Usuwanie gry i całej powiązanej zawartości
Titlekey не может быть инициализирован,Nie można zainicjować klucza tytułu
Удаляется папка LFS...,Usuwanie folderu LFS...
Удаляется пустая папка,Usuwanie pustego folderu
Удаляется сохранение {}...,Usuwanie zapisu {}...
Удаляется старая запись о контенте...,Usuwanie starego wpisu zawartości...
Удаляется старый cnmt.nca...,Usuwanie starego cnmt.nca...
Удаляется тикет: {}...,Usuwanie biletu: {}...
Удалять после установки: ,Usuwać po instalacji:
Удаляются все объекты из альбома для игры,Usuwanie wszystkich obiektów z albumu dla gry
Удаляются все сохранения для игры,Usuwanie wszystkich zapisów gry
Удаляются сохранения...,Usuwanie zapisów...
"UID: {}, Ник: {}","UID: {}, Nick: {}"
Удалённые,Usunięte
Удачный экспорт,Pomyślny eksport
Уделение старого тикета...,Usuwanie starego biletu...
Упаковка каталога в RomFS,Pakowanie katalogu do RomFS
Упрощенный китайский,Uproszczony chiński
Уровень заряда батареи         : {},Poziom naładowania baterii         : {}
Успешно разобран как PFS0 файл,Pomyślnie sparsowano jako plik PFS0
Устанавливается {},Instalowanie {}
Установить как аватар...,Ustaw jako awatar...
Установка,Instalacja
URL для проверки обновлений,URL do sprawdzania aktualizacji
Установка анлокера...,Instalacja odblokowania...
Установка завершена,Instalacja zakończona
Установка игр (NAND),Instalacja gier (NAND)
Установка игр (SD Card),Instalacja gier (SD Card)
Установка игры завершена,Instalacja gry zakończona
Установка обновлений игр,Instalacja aktualizacji gier
Установка прервана,Instalacja przerwana
Установка с картриджа,Instalacja z kartridża
Установка тайтлов ({}/{}),Instalacja tytułów ({}/{})
Установка через DBIbackend,Instalacja przez DBIbackend
USB Соединение,Połączenie USB
Установка ярлыка...,Instalacja skrótu...
Установлен,Zainstalowano
Установленные,Zainstalowane
Установленные homebrew,Zainstalowane homebrew
Установленные homebrew ({}),Zainstalowane homebrew ({})
Установленные игры,Zainstalowane gry
Установленные тикеты,Zainstalowane bilety
Установленные тикеты ({}),Zainstalowane bilety ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Plik jest uszkodzony i nie może być zainstalowany. Nie znaleziono sygnatury HEAD
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Plik jest uszkodzony i nie może być zainstalowany. Nie znaleziono sygnatury HFS0 w sekcji root
Wireless LAN MAC адрес: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Adres MAC Wireless LAN: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Plik jest uszkodzony i nie może być zainstalowany. Nie znaleziono sygnatury HFS0 w sekcji secure
