original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - seleccionar, Y - invertir selección, (+) - menú"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - seleccionar, Y - invertir selección, (+) - menú, L3 - iniciar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - seleccionar, Y - invertir selección, (+) - menú, R3 - ordenar"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - seleccionar, Y - invertir selección, (+) - menú, R3 - ordenar, L3 - iniciar"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - seleccionar, Y - invertir selección, A - abrir, (-) - 2do panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - seleccionar, Y - invertir selección, ⬅/➡ - cambiar panel, (-) - cerrar"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - cambiar fecha, Y - período, X - ordenar, (+) - seleccionar usuario"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tiempo juego \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,No se puede montar la partición del sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD o sticks para mover, (+) - Ajustes"
Ошибка создания файла: {},Error al crear el archivo: {}
Подключение к серверу...,Conectando al servidor...
"          Париж, издательство Грассе.","          París, editorial Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Título: {}\n      Editor: {}\n      Versión:
   Это действие будет нельзя отменить   ,Esta acción no se puede deshacer
SDK подменён,SDK sustituido
Тип оборудования        : {},Tipo de hardware        : {}
Точка доступа,Punto de acceso
Традиционный китайский,Chino tradicional
Транзисторов:      {:>3},Transistores:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Se requiere permitir manualmente la sincronización de la hora por Internet en los ajustes
Тёмная комната,Cuarto oscuro
Убрать из любимых,Quitar de favoritos
Увеличить размер (в МБ),Aumentar tamaño (en MB)
"Уверены, что хотите продолжить?",¿Está seguro de que desea continuar?
Удаление Wi-Fi профиля,Eliminar perfil de Wi-Fi
Удаление Wi-Fi профиля...,Eliminar perfil de Wi-Fi...
Удаление {} бекапа,Eliminando {} copia
Удаление {} бекапов,Eliminando {} copias
Удаление {} сохранений,Eliminando {} guardados
Удаление {} сохранения,Eliminando {} guardado
Удаление бекапов,Eliminando copias
Удаление записи об игре...,Eliminando registro del juego...
Удаление игр,Eliminar juegos
Удаление игры ,Eliminar juego
Удаление игры целиком: [{}],Eliminando el juego completo: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Contraseña: {}"
Удаление каталога LFS,Eliminar directorio LFS
Удаление контента,Eliminando contenido
Удаление настроек родительского контроля...,Eliminando ajustes de control parental...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,La eliminación falló.\n\nPresiona cualquier botón para continuar
Удаление неиспользуемого {}...,Eliminando {} no utilizado...
Удаление плейсхолдера...,Eliminando marcador...
Удаление пользователя,Eliminar usuario
Удаление пользователя...,Eliminando usuario...
Удаление ранее установленных файлов...,Eliminando archivos previamente instalados...
Удаление родительского контроля,Eliminar control parental
SaveFS очищена,SaveFS limpiado
Удаление связи с Nintendo account...,Eliminando vinculación con la cuenta Nintendo...
Удаление сохранений,Eliminando guardados
Удаление сохранения целиком,Eliminando el guardado completo
Удаление старого     {}...,Eliminando el antiguo     {}...
Удаление старого файла {}...,Eliminando el archivo antiguo {}...
Удаление старой записи об игре...,Eliminando registro de juego antiguo...
Удаление старой папки {}...,Eliminando la carpeta antigua {}...
Удаление тайтла: [{}],Eliminando el título: [{}]
Удаление тикетов ({}),Eliminando tickets ({})
Удаление...,Eliminando...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Eliminar
Удалить LFS,Eliminar LFS
Удалить сохранения,Eliminar guardados
Удалить старые бекапы,Eliminar copias antiguas
Удаляется {} из {}...,Eliminando {} de {}...
Удаляется {}...,Eliminando {}...
Удаляется бекап ,Eliminando copia
Удаляется запись о контенте...,Eliminando registro de contenido...
Удаляется запись об игре...,Eliminando registro del juego...
Удаляется игра и весь связанный контент,Eliminando juego y todo el contenido relacionado
Titlekey не может быть инициализирован,No se puede inicializar la Titlekey
Удаляется папка LFS...,Eliminando carpeta LFS...
Удаляется пустая папка,Eliminando carpeta vacía
Удаляется сохранение {}...,Eliminando guardado {}...
Удаляется старая запись о контенте...,Eliminando registro de contenido antiguo...
Удаляется старый cnmt.nca...,Eliminando cnmt.nca antiguo...
Удаляется тикет: {}...,Eliminando ticket: {}...
Удалять после установки: ,Eliminar después de instalar:
Удаляются все объекты из альбома для игры,Eliminando todos los objetos del álbum para el juego
Удаляются все сохранения для игры,Eliminando todos los guardados del juego
Удаляются сохранения...,Eliminando guardados...
"UID: {}, Ник: {}","UID: {}, Nick: {}"
Удалённые,Eliminados
Удачный экспорт,Exportación exitosa
Уделение старого тикета...,Eliminando ticket antiguo...
Упаковка каталога в RomFS,Empaquetando directorio en RomFS
Упрощенный китайский,Chino simplificado
Уровень заряда батареи         : {},Nivel de carga de la batería         : {}
Успешно разобран как PFS0 файл,Analizado correctamente como archivo PFS0
Устанавливается {},Instalando {}
Установить как аватар...,Establecer como avatar...
Установка,Instalación
URL для проверки обновлений,URL para verificar actualizaciones
Установка анлокера...,Instalando desbloqueador...
Установка завершена,Instalación finalizada
Установка игр (NAND),Instalar juegos (NAND)
Установка игр (SD Card),Instalar juegos (Tarjeta SD)
Установка игры завершена,La instalación del juego ha finalizado
