original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - auswählen, Y - Auswahl umkehren, (+) - Menü"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - auswählen, Y - Auswahl umkehren, (+) - Menü, L3 - starten"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - auswählen, Y - Auswahl umkehren, (+) - Menü, R3 - sortieren"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - auswählen, Y - Auswahl umkehren, (+) - Menü, R3 - sortieren, L3 - starten"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - auswählen, Y - Auswahl umkehren, A - öffnen, (-) - 2. Panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - auswählen, Y - Auswahl umkehren, ⬅/➡ - Panel wechseln, (-) - schließen"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - Datum ändern, Y - Zeitraum, X - Sortierung, (+) - Benutzer auswählen"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Spielzeit \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Systempartition kann nicht gemountet werden
"DPAD или стики для перемещения, (+) - Настройки","DPAD oder Sticks zum Bewegen, (+) - Einstellungen"
Ошибка создания файла: {},Fehler beim Erstellen der Datei: {}
Подключение к серверу...,Verbinde mit Server...
"          Париж, издательство Грассе.","          Paris, Grasset Verlag."
      Название: {}\n      Издатель: {}\n      Версия: ,      Titel: {}\n      Herausgeber: {}\n      Version:
   Это действие будет нельзя отменить   ,Diese Aktion kann nicht rückgängig gemacht werden
SDK подменён,SDK ersetzt
Тип оборудования        : {},Hardware-Typ        : {}
Точка доступа,Zugangspunkt
Традиционный китайский,Traditionelles Chinesisch
Транзисторов:      {:>3},Transistoren:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Manuelle Aktivierung der Zeit-Synchronisation über Internet in den Einstellungen erforderlich
Тёмная комната,Dunkler Raum
Убрать из любимых,Aus Favoriten entfernen
Увеличить размер (в МБ),Größe erhöhen (in MB)
"Уверены, что хотите продолжить?","Sind Sie sicher, dass Sie fortfahren möchten?"
Удаление Wi-Fi профиля,Lösche Wi-Fi-Profil
Удаление Wi-Fi профиля...,Wi-Fi-Profil löschen...
Удаление {} бекапа,Lösche {} Backup
Удаление {} бекапов,Lösche {} Backups
Удаление {} сохранений,Lösche {} Speicherstände
Удаление {} сохранения,Lösche {} Speicherstand
Удаление бекапов,Backups löschen
Удаление записи об игре...,Lösche Spieldatensatz...
Удаление игр,Spiele löschen
Удаление игры ,Spiel löschen
Удаление игры целиком: [{}],Lösche gesamtes Spiel: [{}]
