original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - select, Y - invert selection, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - select, Y - invert selection, (+) - menu, L3 - launch"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - select, Y - invert selection, (+) - menu, R3 - sort"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - select, Y - invert selection, (+) - menu, R3 - sort, L3 - launch"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - select, Y - invert selection, A - open, (-) - 2nd panel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - select, Y - invert selection, ⬅/➡ - change panel, (-) - close"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - change date, Y - period, X - sort, (+) - select user"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Play time \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Cannot mount system partition
"DPAD или стики для перемещения, (+) - Настройки","DPAD or sticks to move, (+) - Settings"
Ошибка создания файла: {},Error creating file: {}
Подключение к серверу...,Connecting to server...
"          Париж, издательство Грассе.","          Paris, Grasset publishing house."
      Название: {}\n      Издатель: {}\n      Версия: ,      Title: {}\n      Publisher: {}\n      Version:
   Это действие будет нельзя отменить   ,This action cannot be undone
SDK подменён,SDK replaced
Тип оборудования        : {},Hardware type        : {}
Точка доступа,Access point
Традиционный китайский,Traditional Chinese
Транзисторов:      {:>3},Transistors:       {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,You need to manually enable Internet time synchronization in settings
Тёмная комната,Dark room
Убрать из любимых,Remove from favorites
Увеличить размер (в МБ),Increase size (in MB)
"Уверены, что хотите продолжить?",Are you sure you want to continue?
Удаление Wi-Fi профиля,Deleting Wi-Fi profile
