original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - izvēle, Y - inv. izvēle, (+) - izvēlne"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - izvēle, Y - inv. izvēle, (+) - izvēlne, L3 - starts"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - izvēle, Y - inv. izvēle, (+) - izvēlne, R3 - kārtošana"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - izvēle, Y - inv. izvēle, (+) - izvēlne, R3 - kārtot, L3 - starts"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - izvēle, Y - inv. izvēle, A - atvērt, (-) - 2. panelis"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - izvēle, Y - inv. izvēle, ⬅/➡ - mainīt paneli, (-) - aizvērt"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - mainīt datumu, Y - periods, X - kārtošana, (+) - izvēlēties lietotāju"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Spēles laiks \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Nevar piemontēt sistēmas sadaļu
"DPAD или стики для перемещения, (+) - Настройки","DPAD vai stiki pārvietošanai, (+) - Iestatījumi"
Ошибка создания файла: {},Faila izveides kļūda: {}
Подключение к серверу...,Pievienojas serverim...
"          Париж, издательство Грассе.","Parīze, izdevniecība Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,Nosaukums: {}\n      Izdevējs: {}\n      Versija:
   Это действие будет нельзя отменить   ,Šo darbību nevarēs atsaukt
SDK подменён,SDK aizstāts
Тип оборудования        : {},Aparatūras tips         : {}
Точка доступа,Piekļuves punkts
Традиционный китайский,Tradicionālā ķīniešu
Транзисторов:      {:>3},Tranzistori:       {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Nepieciešams manuāli atļaut laika sinhronizāciju caur internetu iestatījumos
Тёмная комната,Tumšā istaba
Убрать из любимых,Noņemt no izlases
Увеличить размер (в МБ),Palielināt izmēru (MB)
"Уверены, что хотите продолжить?",Vai tiešām vēlaties turpināt?
Удаление Wi-Fi профиля,Wi-Fi profila dzēšana
Удаление Wi-Fi профиля...,Wi-Fi profila dzēšana...
Удаление {} бекапа,Dzēš {} rez. kopiju
Удаление {} бекапов,Dzēš {} rez. kopijas
Удаление {} сохранений,Dzēš {} saglabājumus
Удаление {} сохранения,Dzēš {} saglabājumus
Удаление бекапов,Rez. kopiju dzēšana
Удаление записи об игре...,Spēles ieraksta dzēšana...
Удаление игр,Spēļu dzēšana
Удаление игры ,Spēles dzēšana
Удаление игры целиком: [{}],Visas spēles dzēšana: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Parole: {}"
Удаление каталога LFS,LFS kataloga dzēšana
Удаление контента,Satura dzēšana
Удаление настроек родительского контроля...,Vecāku kontroles iestatījumu dzēšana...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,"Dzēšana neizdevās.\n\nNospiediet jebkuru pogu, lai turpinātu"
Удаление неиспользуемого {}...,Dzēš neizmantoto {}...
Удаление плейсхолдера...,Vietas turētāja dzēšana...
Удаление пользователя,Lietotāja dzēšana
Удаление пользователя...,Lietotāja dzēšana...
Удаление ранее установленных файлов...,Iepriekš instalēto failu dzēšana...
Удаление родительского контроля,Vecāku kontroles dzēšana
SaveFS очищена,SaveFS notīrīta
Удаление связи с Nintendo account...,Nintendo account saites dzēšana...
Удаление сохранений,Saglabājumu dzēšana
Удаление сохранения целиком,Visu saglabājumu dzēšana
Удаление старого     {}...,Dzēš veco     {}...
Удаление старого файла {}...,Dzēš veco failu {}...
Удаление старой записи об игре...,Dzēš veco spēles ierakstu...
Удаление старой папки {}...,Dzēš veco mapi {}...
Удаление тайтла: [{}],Nosaukuma dzēšana: [{}]
Удаление тикетов ({}),Tiketu dzēšana ({})
Удаление...,Dzēšana...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Dzēst
Удалить LFS,Dzēst LFS
Удалить сохранения,Dzēst saglabājumus
Удалить старые бекапы,Dzēst vecās rez. kopijas
Удаляется {} из {}...,Dzēš {} no {}...
Удаляется {}...,Dzēš {}...
Удаляется бекап ,Dzēš rez. kopiju
Удаляется запись о контенте...,Dzēš satura ierakstu...
Удаляется запись об игре...,Dzēš spēles ierakstu...
Удаляется игра и весь связанный контент,Dzēš spēli un visu saistīto saturu
Titlekey не может быть инициализирован,Titlekey nevar inicializēt
Удаляется папка LFS...,Dzēš LFS mapi...
Удаляется пустая папка,Dzēš tukšu mapi
Удаляется сохранение {}...,Dzēš saglabājumu {}...
Удаляется старая запись о контенте...,Dzēš veco satura ierakstu...
Удаляется старый cnmt.nca...,Dzēš veco cnmt.nca...
Удаляется тикет: {}...,Dzēš tiketu: {}...
Удалять после установки: ,Dzēst pēc instalēšanas:
Удаляются все объекты из альбома для игры,Dzēš visus albuma objektus spēlei
Удаляются все сохранения для игры,Dzēš visus spēles saglabājumus
Удаляются сохранения...,Dzēš saglabājumus...
"UID: {}, Ник: {}","UID: {}, Niks: {}"
Удалённые,Dzēstie
Удачный экспорт,Veiksmīgs eksports
Уделение старого тикета...,Dzēš veco tiketu...
Упаковка каталога в RomFS,Kataloga pakošana RomFS
Упрощенный китайский,Vienkāršotā ķīniešu
Уровень заряда батареи         : {},Baterijas uzlādes līmenis      : {}
Успешно разобран как PFS0 файл,Veiksmīgi analizēts kā PFS0 fails
Устанавливается {},Instalē {}
Установить как аватар...,Iestatīt kā avataru...
Установка,Instalēšana
URL для проверки обновлений,URL atjauninājumu pārbaudei
Установка анлокера...,Atbloķētāja instalēšana...
Установка завершена,Instalēšana pabeigta
Установка игр (NAND),Spēļu instalēšana (NAND)
Установка игр (SD Card),Spēļu instalēšana (SD)
Установка игры завершена,Spēles instalēšana pabeigta
Установка обновлений игр,Spēļu atjauninājumu instalēšana
Установка прервана,Instalēšana pārtraukta
Установка с картриджа,Instalēšana no kārtridža
Установка тайтлов ({}/{}),Nosaukumu instalēšana ({}/{})
Установка через DBIbackend,Instalēšana caur DBIbackend
USB Соединение,USB Savienojums
Установка ярлыка...,Saīsnes instalēšana...
Установлен,Instalēts
Установленные,Instalētie
Установленные homebrew,Instalētie homebrew
Установленные homebrew ({}),Instalētie homebrew ({})
Установленные игры,Instalētās spēles
Установленные тикеты,Instalētie tiketi
Установленные тикеты ({}),Instalētie tiketi ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,Fails bojāts un nevar tikt instalēts. Nav atrasts HEAD paraksts
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,Fails bojāts un nevar tikt instalēts. Nav atrasts HFS0 paraksts root sadaļā
Wireless LAN MAC адрес: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},Wireless LAN MAC adrese: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,Fails bojāts un nevar tikt instalēts. Nav atrasts HFS0 paraksts secure sadaļā
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,Fails bojāts un nevar tikt instalēts. Nav atrasts PFS0 paraksts
Файл слишком большой для хранилища,Fails pārāk liels krātuvei
Файл: {},Fails: {}
Фиксация ФС...,FS fiksēšana...
Финальный размер: {},Galīgais izmērs: {}
Формирование списка...,Saraksta veidošana...
Форсированный язык    : {},Forsētā valoda        : {}
Форсированный язык    : {} ({}),Forsētā valoda        : {} ({})
  Автоопределение,Automātiska noteikšana
