original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - seleziona, Y - inverti selezione, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - seleziona, Y - inverti selezione, (+) - menu, L3 - avvia"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - seleziona, Y - inverti selezione, (+) - menu, R3 - ordina"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - seleziona, Y - inverti selezione, (+) - menu, R3 - ordina, L3 - avvia"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - seleziona, Y - inverti selezione, A - apri, (-) - 2° pannello"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - seleziona, Y - inverti selezione, ⬅/➡ - cambia pannello, (-) - chiudi"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - cambia data, Y - periodo, X - ordina, (+) - seleziona utente"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Tempo gioco \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Impossibile montare la partizione di sistema
"DPAD или стики для перемещения, (+) - Настройки","DPAD o stick per muovere, (+) - Impostazioni"
Ошибка создания файла: {},Errore nella creazione del file: {}
Подключение к серверу...,Connessione al server...
"          Париж, издательство Грассе.","          Parigi, edizioni Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Titolo: {}\n      Editore: {}\n      Versione:
   Это действие будет нельзя отменить   ,Questa azione non può essere annullata
SDK подменён,SDK sostituito
Тип оборудования        : {},Tipo di hardware        : {}
Точка доступа,Punto di accesso
Традиционный китайский,Cinese tradizionale
Транзисторов:      {:>3},Transistor:        {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,È necessario consentire manualmente la sincronizzazione dell'ora via Internet nelle impostazioni
Тёмная комната,Stanza buia
Убрать из любимых,Rimuovi dai preferiti
Увеличить размер (в МБ),Aumenta dimensione (in MB)
"Уверены, что хотите продолжить?",Sei sicuro di voler continuare?
Удаление Wi-Fi профиля,Eliminazione del profilo Wi-Fi
Удаление Wi-Fi профиля...,Eliminazione del profilo Wi-Fi...
Удаление {} бекапа,Eliminazione di {} backup
Удаление {} бекапов,Eliminazione di {} backup
Удаление {} сохранений,Eliminazione di {} salvataggi
Удаление {} сохранения,Eliminazione di {} salvataggio
Удаление бекапов,Eliminazione backup
Удаление записи об игре...,Eliminazione della voce del gioco...
Удаление игр,Eliminazione giochi
Удаление игры ,Eliminazione del gioco
Удаление игры целиком: [{}],Eliminazione dell'intero gioco: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Password: {}"
Удаление каталога LFS,Eliminazione della directory LFS
Удаление контента,Eliminazione del contenuto
Удаление настроек родительского контроля...,Eliminazione delle impostazioni del controllo parentale...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Eliminazione fallita.\n\nPremi un pulsante qualsiasi per continuare
Удаление неиспользуемого {}...,Eliminazione di {} non utilizzato...
Удаление плейсхолдера...,Eliminazione del segnaposto...
Удаление пользователя,Eliminazione utente
Удаление пользователя...,Eliminazione dell'utente...
Удаление ранее установленных файлов...,Eliminazione dei file installati in precedenza...
Удаление родительского контроля,Rimozione del controllo parentale
SaveFS очищена,SaveFS pulito
Удаление связи с Nintendo account...,Scollegamento dell'account Nintendo...
Удаление сохранений,Eliminazione salvataggi
Удаление сохранения целиком,Eliminazione dell'intero salvataggio
Удаление старого     {}...,Eliminazione del vecchio {}...
Удаление старого файла {}...,Eliminazione del vecchio file {}...
Удаление старой записи об игре...,Eliminazione della vecchia voce del gioco...
Удаление старой папки {}...,Eliminazione della vecchia cartella {}...
Удаление тайтла: [{}],Eliminazione del titolo: [{}]
Удаление тикетов ({}),Eliminazione ticket ({})
Удаление...,Eliminazione...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Удaлить
Удалить LFS,Elimina LFS
Удалить сохранения,Elimina salvataggi
Удалить старые бекапы,Elimina vecchi backup
Удаляется {} из {}...,Eliminazione di {} da {}...
Удаляется {}...,Eliminazione di {}...
Удаляется бекап ,Eliminazione backup
Удаляется запись о контенте...,Eliminazione della voce del contenuto...
Удаляется запись об игре...,Eliminazione della voce del gioco...
Удаляется игра и весь связанный контент,Eliminazione del gioco e di tutti i contenuti correlati
Titlekey не может быть инициализирован,Impossibile inizializzare la titlekey
Удаляется папка LFS...,Eliminazione della cartella LFS...
Удаляется пустая папка,Eliminazione cartella vuota
Удаляется сохранение {}...,Eliminazione del salvataggio {}...
Удаляется старая запись о контенте...,Eliminazione della vecchia voce del contenuto...
Удаляется старый cnmt.nca...,Eliminazione del vecchio cnmt.nca...
Удаляется тикет: {}...,Eliminazione del ticket: {}...
Удалять после установки: ,Elimina dopo l'installazione:
Удаляются все объекты из альбома для игры,Eliminazione di tutti gli oggetti dall'album per il gioco
Удаляются все сохранения для игры,Eliminazione salvataggi gioco
Удаляются сохранения...,Eliminazione dei salvataggi...
"UID: {}, Ник: {}","UID: {}, Nick: {}"
Удалённые,Eliminati
Удачный экспорт,Esportazione riuscita
Уделение старого тикета...,Eliminazione del vecchio ticket...
Упаковка каталога в RomFS,Impacchettamento della directory in RomFS
Упрощенный китайский,Cinese semplificato
Уровень заряда батареи         : {},Livello di carica della batteria         : {}
Успешно разобран как PFS0 файл,Analizzato con successo come file PFS0
Устанавливается {},Installazione di {}
Установить как аватар...,Imposta come avatar...
Установка,Installazione
URL для проверки обновлений,URL per il controllo degli aggiornamenti
Установка анлокера...,Installazione dello sblocco...
Установка завершена,Installazione completata
Установка игр (NAND),Installazione giochi (NAND)
Установка игр (SD Card),Installazione giochi (Scheda SD)
Установка игры завершена,Installazione del gioco completata
Установка обновлений игр,Installazione aggiornamenti giochi
Установка прервана,Installazione annullata
Установка с картриджа,Installa da cartuccia
Установка тайтлов ({}/{}),Installazione titoli ({}/{})
Установка через DBIbackend,Installa tramite DBIbackend
USB Соединение,Connessione USB
Установка ярлыка...,Installazione della scorciatoia...
Установлен,Installato
Установленные,Installati
Установленные homebrew,Homebrew installati
Установленные homebrew ({}),Homebrew installati ({})
Установленные игры,Giochi installati
Установленные тикеты,Ticket installati
Установленные тикеты ({}),Ticket installati ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,File corrotto e non installabile. Firma HEAD non trovata
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,File corrotto e non installabile. Firma HFS0 non trovata nella partizione root
