original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - selecteren, Y - selectie omkeren, (+) - menu"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - selecteren, Y - selectie omkeren, (+) - menu, L3 - starten"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - selecteren, Y - selectie omkeren, (+) - menu, R3 - sorteren"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - selecteren, Y - selectie omkeren, (+) - menu, R3 - sorteren, L3 - starten"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - selecteren, Y - selectie omkeren, A - openen, (-) - 2e paneel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - selecteren, Y - selectie omkeren, ⬅/➡ - paneel wisselen, (-) - sluiten"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - datum wijzigen, Y - periode, X - sorteren, (+) - gebruiker selecteren"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Speeltijd \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Kan systeempartitie niet mounten
"DPAD или стики для перемещения, (+) - Настройки","DPAD of sticks om te bewegen, (+) - Instellingen"
Ошибка создания файла: {},Fout bij aanmaken van bestand: {}
Подключение к серверу...,Verbinden met server...
"          Париж, издательство Грассе.","          Parijs, uitgeverij Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,      Titel: {}\n      Uitgever: {}\n      Versie:
   Это действие будет нельзя отменить   ,Deze actie kan niet ongedaan worden gemaakt
SDK подменён,SDK vervangen
Тип оборудования        : {},Hardwaretype        : {}
Точка доступа,Toegangspunt
Традиционный китайский,Traditioneel Chinees
Транзисторов:      {:>3},Transistors:       {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Handmatig toestemming geven voor tijdsynchronisatie via internet in de instellingen is vereist
Тёмная комната,Donkere kamer
Убрать из любимых,Uit favorieten verwijderen
Увеличить размер (в МБ),Grootte verhogen (in MB)
"Уверены, что хотите продолжить?",Weet u zeker dat u wilt doorgaan?
Удаление Wi-Fi профиля,Wi-Fi-profiel verwijderen
Удаление Wi-Fi профиля...,Wi-Fi-profiel verwijderen...
Удаление {} бекапа,{} back-up verwijderen
Удаление {} бекапов,{} back-ups verwijderen
Удаление {} сохранений,{} savegames verwijderen
Удаление {} сохранения,{} savegame verwijderen
Удаление бекапов,Back-ups verwijderen
Удаление записи об игре...,Spelrecord verwijderen...
Удаление игр,Spellen verwijderen
Удаление игры ,Spel verwijderen
Удаление игры целиком: [{}],Volledig spel verwijderen: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Wachtwoord: {}"
Удаление каталога LFS,LFS-map verwijderen
Удаление контента,Content verwijderen
Удаление настроек родительского контроля...,Instellingen voor ouderlijk toezicht verwijderen...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,Verwijderen mislukt.\n\nDruk op een willekeurige knop om door te gaan
Удаление неиспользуемого {}...,Ongebruikte {} verwijderen...
Удаление плейсхолдера...,Placeholder verwijderen...
Удаление пользователя,Gebruiker verwijderen
Удаление пользователя...,Gebruiker verwijderen...
Удаление ранее установленных файлов...,Eerder geïnstalleerde bestanden verwijderen...
Удаление родительского контроля,Ouderlijk toezicht verwijderen
SaveFS очищена,SaveFS gewist
Удаление связи с Nintendo account...,Koppeling met Nintendo-account verwijderen...
Удаление сохранений,Savegames verwijderen
Удаление сохранения целиком,Volledige savegame verwijderen
Удаление старого     {}...,Oude {} verwijderen...
Удаление старого файла {}...,Oud bestand {} verwijderen...
Удаление старой записи об игре...,Oud spelrecord verwijderen...
Удаление старой папки {}...,Oude map {} verwijderen...
Удаление тайтла: [{}],Titel verwijderen: [{}]
Удаление тикетов ({}),Tickets verwijderen ({})
Удаление...,Verwijderen...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,Verwijderen
Удалить LFS,LFS verwijderen
Удалить сохранения,Savegames verwijderen
Удалить старые бекапы,Oude back-ups verwijderen
