original,translation
"X - выбор, Y - инверсия выбора, (+) - меню",X - 選擇，Y - 反向選擇，(+) - 選單
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск",X - 選擇，Y - 反向選擇，(+) - 選單，L3 - 啟動
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка",X - 選擇，Y - 反向選擇，(+) - 選單，R3 - 排序
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск",X - 選擇，Y - 反向選擇，(+) - 選單，R3 - 排序，L3 - 啟動
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель",X - 選擇，Y - 反向選擇，A - 開啟，(-) - 第二面板
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть",X - 選擇，Y - 反向選擇，⬅/➡ - 切換面板，(-) - 關閉
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя",ZL/ZR - 變更日期，Y - 期間，X - 排序，(+) - 選擇使用者
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. 遊戲時間 \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,無法掛載系統分區
"DPAD или стики для перемещения, (+) - Настройки",使用方向鍵或搖桿移動，(+) - 設定
Ошибка создания файла: {},建立檔案時發生錯誤：{}
Подключение к серверу...,正在連線至伺服器...
"          Париж, издательство Грассе.",          巴黎，格拉塞出版社。
      Название: {}\n      Издатель: {}\n      Версия: ,      名稱：{} \n      發行者：{} \n      版本：
   Это действие будет нельзя отменить   ,此操作無法復原
SDK подменён,SDK 已替換
Тип оборудования        : {},硬體類型：{}
Точка доступа,存取點
Традиционный китайский,繁體中文
Транзисторов:      {:>3},電晶體： {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,需要在設定中手動允許透過網際網路同步時間
Тёмная комната,暗房
Убрать из любимых,從我的最愛移除
Увеличить размер (в МБ),增加大小 (MB)
"Уверены, что хотите продолжить?",您確定要繼續嗎？
Удаление Wi-Fi профиля,刪除 Wi-Fi 設定檔
Удаление Wi-Fi профиля...,正在刪除 Wi-Fi 設定檔...
Удаление {} бекапа,正在刪除 {} 個備份
Удаление {} бекапов,正在刪除 {} 個備份
Удаление {} сохранений,正在刪除 {} 個存檔
Удаление {} сохранения,正在刪除 {} 個存檔
Удаление бекапов,刪除備份
Удаление записи об игре...,正在刪除遊戲記錄...
Удаление игр,刪除遊戲
Удаление игры ,刪除遊戲
Удаление игры целиком: [{}],正在刪除整個遊戲：[{}]
"SSID: {}, Пароль: {}","SSID: {}, 密碼: {}"
Удаление каталога LFS,刪除 LFS 目錄
Удаление контента,刪除內容
Удаление настроек родительского контроля...,正在刪除家長監護設定...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,刪除失敗。\n\n按任意鍵繼續
Удаление неиспользуемого {}...,正在刪除未使用的 {}...
Удаление плейсхолдера...,正在刪除預留位置...
Удаление пользователя,刪除使用者
Удаление пользователя...,正在刪除使用者...
Удаление ранее установленных файлов...,正在刪除先前安裝的檔案...
Удаление родительского контроля,移除家長監護
SaveFS очищена,SaveFS 已清除
Удаление связи с Nintendo account...,正在解除與 Nintendo Account 的連結...
Удаление сохранений,刪除存檔
Удаление сохранения целиком,正在刪除整個存檔
Удаление старого     {}...,正在刪除舊的 {}...
Удаление старого файла {}...,正在刪除舊檔案 {}...
Удаление старой записи об игре...,正在刪除舊的遊戲記錄...
Удаление старой папки {}...,正在刪除舊資料夾 {}...
Удаление тайтла: [{}],正在刪除標題：[{}]
Удаление тикетов ({}),正在刪除票證 ({})
Удаление...,刪除中...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,刪除
Удалить LFS,刪除 LFS
Удалить сохранения,刪除存檔
Удалить старые бекапы,刪除舊備份
Удаляется {} из {}...,正在刪除 {} 中的 {}...
Удаляется {}...,正在刪除 {}...
Удаляется бекап ,正在刪除備份
Удаляется запись о контенте...,正在刪除內容記錄...
Удаляется запись об игре...,正在刪除遊戲記錄...
Удаляется игра и весь связанный контент,正在刪除遊戲及所有相關內容
Titlekey не может быть инициализирован,無法初始化 Titlekey
Удаляется папка LFS...,正在刪除 LFS 資料夾...
Удаляется пустая папка,正在刪除空資料夾
Удаляется сохранение {}...,正在刪除存檔 {}...
Удаляется старая запись о контенте...,正在刪除舊的內容記錄...
Удаляется старый cnmt.nca...,正在刪除舊的 cnmt.nca...
Удаляется тикет: {}...,正在刪除票證：{}...
Удалять после установки: ,安裝後刪除：
Удаляются все объекты из альбома для игры,正在刪除遊戲相簿中的所有物件
Удаляются все сохранения для игры,正在刪除遊戲所有存檔
Удаляются сохранения...,正在刪除存檔...
"UID: {}, Ник: {}","UID: {}, 暱稱: {}"
Удалённые,已刪除
Удачный экспорт,匯出成功
Уделение старого тикета...,正在刪除舊票證...
Упаковка каталога в RomFS,正在將目錄打包至 RomFS
Упрощенный китайский,簡體中文
Уровень заряда батареи         : {},電池電量等級：{}
Успешно разобран как PFS0 файл,成功解析為 PFS0 檔案
Устанавливается {},正在安裝 {}
Установить как аватар...,設定為頭像...
Установка,安裝
URL для проверки обновлений,檢查更新的 URL
Установка анлокера...,正在安裝解鎖器...
Установка завершена,安裝完成
Установка игр (NAND),安裝遊戲 (NAND)
Установка игр (SD Card),安裝遊戲 (SD 卡)
Установка игры завершена,遊戲安裝完成
Установка обновлений игр,安裝遊戲更新
Установка прервана,安裝已中止
Установка с картриджа,從遊戲卡安裝
Установка тайтлов ({}/{}),正在安裝標題 ({}/{})
Установка через DBIbackend,透過 DBIbackend 安裝
USB Соединение,USB 連線
Установка ярлыка...,正在安裝捷徑...
Установлен,已安裝
Установленные,已安裝
Установленные homebrew,已安裝的自製軟體
Установленные homebrew ({}),已安裝的自製軟體 ({})
Установленные игры,已安裝的遊戲
Установленные тикеты,已安裝的票證
Установленные тикеты ({}),已安裝的票證 ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,檔案已損壞，無法安裝。找不到 HEAD 簽名
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,檔案已損壞，無法安裝。在 root 分區中找不到 HFS0 簽名
