original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - valik, Y - pööra valik, (+) - menüü"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - valik, Y - pööra valik, (+) - menüü, L3 - start"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - valik, Y - pööra valik, (+) - menüü, R3 - sort"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - valik, Y - pööra valik, (+) - menüü, R3 - sort, L3 - start"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - valik, Y - pööra valik, A - ava, (-) - 2. paneel"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - valik, Y - pööra valik, ⬅/➡ - vaheta paneeli, (-) - sulge"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - muuda kuup., Y - periood, X - sortimine, (+) - vali kasutaja"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. Mänguaeg \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,Ei saa haakida süsteemipartitsiooni
"DPAD или стики для перемещения, (+) - Настройки","DPAD või kangid liikumiseks, (+) - Sätted"
Ошибка создания файла: {},Faili loomise viga: {}
Подключение к серверу...,Ühendumine serveriga...
"          Париж, издательство Грассе.","Pariis, kirjastus Grasset."
      Название: {}\n      Издатель: {}\n      Версия: ,Nimi: {}\n      Kirjastaja: {}\n      Versioon:
   Это действие будет нельзя отменить   ,Seda tegevust ei saa tagasi võtta
SDK подменён,SDK asendatud
Тип оборудования        : {},Riistvara tüüp          : {}
Точка доступа,Pääsupunkt
Традиционный китайский,Traditsiooniline hiina
Транзисторов:      {:>3},Transistore:       {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,Vajalik käsitsi lubada aja sünkroonimine interneti kaudu seadetes
Тёмная комната,Pimeruum
Убрать из любимых,Eemalda lemmikutest
Увеличить размер (в МБ),Suurenda (MB)
"Уверены, что хотите продолжить?","Kas oled kindel, et soovid jätkata?"
Удаление Wi-Fi профиля,Wi-Fi profiili kustutamine
Удаление Wi-Fi профиля...,Wi-Fi profiili kustutamine...
Удаление {} бекапа,{} varukoopia kustutamine
Удаление {} бекапов,{} varukoopia kustutamine
Удаление {} сохранений,{} salvestuse kustutamine
Удаление {} сохранения,{} salvestuse kustutamine
Удаление бекапов,Varukoopiate kustutamine
Удаление записи об игре...,Mängukirje kustutamine...
Удаление игр,Mängude kustutamine
Удаление игры ,Mängu kustutamine
Удаление игры целиком: [{}],Mängu täielik kustutamine: [{}]
"SSID: {}, Пароль: {}","SSID: {}, Parool: {}"
Удаление каталога LFS,LFS kausta kustutamine
Удаление контента,Sisu kustutamine
Удаление настроек родительского контроля...,Vanemliku kontrolli seadete kustutamine...
