original,translation
"X - выбор, Y - инверсия выбора, (+) - меню","X - 選択, Y - 選択反転, (+) - メニュー"
"X - выбор, Y - инверсия выбора, (+) - меню, L3 - запуск","X - 選択, Y - 選択反転, (+) - メニュー, L3 - 起動"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка","X - 選択, Y - 選択反転, (+) - メニュー, R3 - ソート"
"X - выбор, Y - инверсия выбора, (+) - меню, R3 - сортировка, L3 - запуск","X - 選択, Y - 選択反転, (+) - メニュー, R3 - ソート, L3 - 起動"
"X - выбор, Y - инвертирование выбора, A - открыть, (-) - 2ая панель","X - 選択, Y - 選択反転, A - 開く, (-) - 2番目のパネル"
"X - выбор, Y - инвертирование выбора, ⬅/➡ - смена панели, (-) - закрыть","X - 選択, Y - 選択反転, ⬅/➡ - パネル切り替え, (-) - 閉じる"
"ZL/ZR - смена даты, Y - период, X - сортировка, (+) - выбрать пользователя","ZL/ZR - 日付変更, Y - 期間, X - ソート, (+) - ユーザー選択"
864,864
. Время игры \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m,. 経過時間 \x1b[32;1m{:02}:{:02}:{:02}\x1b[37;1m
Невозможно смонтировать системный раздел,システムパーティションをマウントできません
"DPAD или стики для перемещения, (+) - Настройки","十字キーまたはスティックで移動, (+) - 設定"
Ошибка создания файла: {},ファイル作成エラー: {}
Подключение к серверу...,サーバーに接続中...
"          Париж, издательство Грассе.",          パリ、グラッセ出版社
      Название: {}\n      Издатель: {}\n      Версия: ,名前: {}\n      発行元: {}\n      バージョン:
   Это действие будет нельзя отменить   ,この操作は元に戻せません
SDK подменён,SDK置換済
Тип оборудования        : {},ハードウェアタイプ        : {}
Точка доступа,アクセスポイント
Традиционный китайский,繁体字中国語
Транзисторов:      {:>3},トランジスタ:      {:>3}
Требуется вручную разрешить синхронизацию времени через Интернет в настройках,設定でインターネット経由の時刻同期を手動で許可する必要があります
Тёмная комната,ダークルーム
Убрать из любимых,お気に入りから削除
Увеличить размер (в МБ),サイズを増やす (MB)
"Уверены, что хотите продолжить?",続行してもよろしいですか？
Удаление Wi-Fi профиля,Wi-Fi プロファイルを削除
Удаление Wi-Fi профиля...,Wi-Fi プロファイルを削除...
Удаление {} бекапа,{}バックアップ削除中
Удаление {} бекапов,{} バックアップを削除中
Удаление {} сохранений,{} セーブデータを削除中
Удаление {} сохранения,{} セーブデータを削除中
Удаление бекапов,バックアップを削除
Удаление записи об игре...,ゲームレコードを削除中...
Удаление игр,ゲームを削除
Удаление игры ,ゲームを削除
Удаление игры целиком: [{}],ゲーム全体を削除中: [{}]
"SSID: {}, Пароль: {}","SSID:{},パス:{}"
Удаление каталога LFS,LFS ディレクトリを削除
Удаление контента,コンテンツを削除
Удаление настроек родительского контроля...,保護者による使用制限の設定を削除中...
Удаление не удалось.\n\nНажмите любую кнопку для продолжения,削除に失敗しました。\n\nいずれかのボタンを押して続行してください
Удаление неиспользуемого {}...,未使用の {} を削除中...
Удаление плейсхолдера...,プレースホルダーを削除中...
Удаление пользователя,ユーザーを削除
Удаление пользователя...,ユーザーを削除中...
Удаление ранее установленных файлов...,以前にインストールされたファイルを削除中...
Удаление родительского контроля,保護者による使用制限を解除
SaveFS очищена,SaveFS消去済
Удаление связи с Nintendo account...,Nintendo Account連携解除中...
Удаление сохранений,セーブデータを削除
Удаление сохранения целиком,セーブデータ全体を削除中
Удаление старого     {}...,古い {} を削除中...
Удаление старого файла {}...,古いファイル {} を削除中...
Удаление старой записи об игре...,古いゲームレコードを削除中...
Удаление старой папки {}...,古いフォルダ {} を削除中...
Удаление тайтла: [{}],タイトルを削除中: [{}]
Удаление тикетов ({}),チケットを削除中 ({})
Удаление...,削除中...
TempC0               : {:04x},TempC0               : {:04x}
Удалить,削除
Удалить LFS,LFS を削除
Удалить сохранения,セーブデータを削除
Удалить старые бекапы,古いバックアップを削除
Удаляется {} из {}...,{} から {} を削除中...
Удаляется {}...,{} を削除中...
Удаляется бекап ,バックアップ削除中
Удаляется запись о контенте...,コンテンツレコードを削除中...
Удаляется запись об игре...,ゲームレコードを削除中...
Удаляется игра и весь связанный контент,ゲームと関連コンテンツをすべて削除
Titlekey не может быть инициализирован,Titlekey を初期化できません
Удаляется папка LFS...,LFS フォルダを削除中...
Удаляется пустая папка,空フォルダを削除中
Удаляется сохранение {}...,セーブデータ {} を削除中...
Удаляется старая запись о контенте...,古いコンテンツレコードを削除中...
Удаляется старый cnmt.nca...,古い cnmt.nca を削除中...
Удаляется тикет: {}...,チケットを削除中: {}...
Удалять после установки: ,インストール後に削除:
Удаляются все объекты из альбома для игры,ゲームのアルバムからすべてのオブジェクトを削除中
Удаляются все сохранения для игры,ゲームの全セーブを削除中
Удаляются сохранения...,セーブデータを削除中...
"UID: {}, Ник: {}","UID: {}, 名前: {}"
Удалённые,削除済み
Удачный экспорт,エクスポート成功
Уделение старого тикета...,古いチケットを削除中...
Упаковка каталога в RomFS,ディレクトリを RomFS にパック
Упрощенный китайский,簡体字中国語
Уровень заряда батареи         : {},バッテリー充電レベル         : {}
Успешно разобран как PFS0 файл,PFS0として正常に解析
Устанавливается {},{} をインストール中
Установить как аватар...,アバターとして設定...
Установка,インストール
URL для проверки обновлений,更新チェック用 URL
Установка анлокера...,アンロッカー導入中...
Установка завершена,インストール完了
Установка игр (NAND),ゲームを導入 (NAND)
Установка игр (SD Card),ゲームを導入 (SD)
Установка игры завершена,ゲームのインストール完了
Установка обновлений игр,ゲームの更新をインストール
Установка прервана,インストール中止
Установка с картриджа,カートリッジから導入
Установка тайтлов ({}/{}),タイトル導入中 ({}/{})
Установка через DBIbackend,DBIbackend でインストール
USB Соединение,USB 接続
Установка ярлыка...,ショートカット導入中...
Установлен,導入済
Установленные,インストール済み
Установленные homebrew,インストール済み homebrew
Установленные homebrew ({}),インストール済み homebrew ({})
Установленные игры,インストール済みゲーム
Установленные тикеты,インストール済みチケット
Установленные тикеты ({}),インストール済みチケット ({})
Файл повреждён и не может быть установлен. Не найдена сигнатура HEAD,ファイルが破損しているためインストールできません。HEAD 署名が見つかりません
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе root,ファイルが破損しているためインストールできません。root パーティションに HFS0 署名が見つかりません
Wireless LAN MAC адрес: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X},無線 LAN MAC アドレス: {:02X}:{:02X}:{:02X}:{:02X}:{:02X}:{:02X}
Файл повреждён и не может быть установлен. Не найдена сигнатура HFS0 в разделе secure,ファイルが破損しているためインストールできません。secure パーティションに HFS0 署名が見つかりません
Файл повреждён и не может быть установлен. Не найдена сигнатура PFS0,ファイルが破損しているためインストールできません。PFS0 署名が見つかりません
Файл слишком большой для хранилища,ファイルがストレージに対して大きすぎます
Файл: {},File: {}
Фиксация ФС...,FS をコミット中...
Финальный размер: {},最終サイズ: {}
Формирование списка...,リストを作成中...
Форсированный язык    : {},強制言語    : {}
Форсированный язык    : {} ({}),強制言語    : {} ({})
  Автоопределение,  自動検出
Форсировано вклчение USB 3.0: {},USB 3.0 を強制有効化: {}
Форсировать UTF-8,UTF-8 を強制
Форсировать язык,言語を強制
Французский,フランス語
"Х:{}, Т:{}, РЦ:{}","H:{}, T:{}, RC:{}"
Хранилища MTP,MTP ストレージ
Хранилище только для чтения,ストレージは読み取り専用です
Хэш версии              : {},バージョンハッシュ : {}
Целевая запись о контенте не найдена,ターゲットコンテンツレコードが見つかりません
ЧАСТЬ КОНТЕНТА ОТСУТСТВУЕТ. ИГРА НЕ БУДЕТ РАБОТАТЬ,一部のコンテンツがありません。ゲームは動作しません
Число транзисторов: {:>3},トランジスタ数: {:>3}
Число уникальных сыграных игр : {},プレイしたユニークゲーム数 : {}
Число ходов:        {:>3},手数:        {:>3}
Читать дату файлов,ファイル日付読取
Чтение каталога...,ディレクトリ読込中...
Чтение списка файлов...,ファイルリスト読込中...
Что-то плохое грядёт,悪い予感がします
Что-то пошло не так. Пропускаем оставшийся файл,問題が発生しました。残りのファイルをスキップします
"Чтобы вернуться, нажмите B",B を押して戻る
Шадок у Гиби,Shadok & Gibi
Шифрование секции ,セクションを暗号化中
Экзосфера очищает CAL0      : {},Exosphere が CAL0 をクリア      : {}
Экран                 : ({:08X}) {},画面                 : ({:08X}) {}
Экспорт SDK,SDK出力
Экспортировать,エクスポート
Экспортировать SDK,SDK をエクスポート
Это действие будет нельзя отменить,この操作は元に戻せません
Язык                    : {},言語                    : {}
Январь,1月
Японский,日本語
Ярлык   : ,ラベル   :
Ярлык для DBI,DBIリンク
"больше шансов, что оно заработает». Их",高まる』ということです。彼らの
быстро проникли в планы шадоков и,シャドックの計画をすぐに見抜き、
"всякий раз, когда растение расцветает",囲み、植物が花を咲かせて
"выражениях: «Чем больше неудач, тем",多いほど、それが機能する可能性は
"вычислили, что у них есть по крайней",計算によれば、少なくとも100万分の
да,Yes
заработает… И они торопятся поскорее,います…そして彼らは、100万回目が
"и дает транзистор, они мчатся, чтобы",トランジスタを実らせるたびに、
"и не кончилось успехом». Или, в других",と。言い換えれば、『失敗が多ければ
"мере один шанс из миллиона, что она",1の確率でそれが機能すると考えて
миллионная заработает».,実行しようとしています。」
не является LFS папкой,LFSフォルダではない
не является LFS папкой игры,ゲームのLFSフォルダではない
нет,No
"ничего, что бы непрерывно продолжалось",し続けて成功に終わらないものはない』
"но окружили его со всех сторон, и",忍び込ませましたが、四方から彼を
"опытов, чтобы быть уверенными, что","999,999回の失敗実験を急いで"
осуществить 999999 первых неудачных,機能することを確信するために、最初の
"очень умные благодаря своим шляпам,",帽子のおかげで非常に賢いギビは、
"планету гиби искать транзисторы. Гиби,",トランジスタを探すことが決定されました。
постоянно кончаясь неудачами.,常に失敗に終わっています。
принципов шадокской логики: «Нет,原則の一つに基づいています。『継続
"ракета еще несовершенна, но они",ロケットはまだ未完成ですが、彼らは
"растений, произрастающих на огородах.",トランジスタを収穫します。
решили позабавиться. Они позволили,楽しむことにしました。彼らは
"ZL/ZR - смена даты, Y - период","ZL/ZR - 日付変更, Y - 期間"
собрать урожай прежде шадока.,シャドックより先に収穫を急ぐ
"терпят неудачу потому, что не хватает",失敗するのは、安全システムに
транзисторов в системах безопасности.,トランジスタが不足しているからだと言いました。
"шадоку забраться в один из их огородов,",シャドックを自分たちの畑の一つに
"Получено: {}, (скорость не определена)","受信済: {}, (速度未定)"
Игры добавлены в список исключений,ゲームを除外リストに追加しました
Новых игр в список исключений добавлено не было,除外リストに追加された新規ゲームはありません
"Интервал автобекапа сейвов, дни",セーブ自動バックアップ間隔(日)
Просмотр МТР устройства [{}],MTPデバイス表示 [{}]
Просмотр USB диска [{}],USBディスク表示 [{}]
Заряд батареи (сырое значение) : {},バッテリー充電 (生の値) : {}
ru,ja
Конфигурация зарядки            : {},充電構成                        : {}
Режим Hi-Z включён              : {},Hi-Zモード有効                  : {}
Зарядка батареи включена        : {},バッテリー充電有効              : {}
Маршрут электропитания          : {},電力経路                        : {}
Напряжение источника            : {} mV,ソース電圧                      : {} mV
Ток источника                   : {} mA,ソース電流                      : {} mA
Быстрая зарядка разрешена       : {},急速充電許可                    : {}
[CRC ОШИБКА ФАЙЛА],[ファイル CRC エラー]
Целевая прошивка            : {}.{}.{},ターゲットFW                    : {}.{}.{}
Поддерживаемая версия HOS   : {},対応HOSバージョン               : {}
Будет скачана и установлена прошивка системы из файла {}.\n\nНажимте (+) для продолжения\nЛюбую другую кнопку для отмены,ファイル{}からシステム更新をDL・インストールします。\n\n(+)で続行\n他ボタンでキャンセル
Распаковка архива не удалась,アーカイブの解凍に失敗しました
